codeCIS;codeSubstance;dosage;referenceDosage
60002283;42215;1,00 mg;un comprimé
60002504;25783;168 mg;un comprimé
60002504;49632;150 mg;un comprimé
60002746;5319;2CH à 30CH et 4DH à 60DH;un comprimé
60002746;5319;2CH à 30CH et 4DH à 60DH;un comprimé
60002867;53034;2CH à 30CH et 4DH à 60DH (crème à 4 %);un comprimé
60002867;53034;2CH à 30CH et 4DH à 60DH;un comprimé
60002867;53034;2CH à 30CH et 4DH à 60DH;un comprimé
60002867;53034;2CH à 30CH et 4DH à 60DH;un comprimé
60003620;4179;800 microgrammes;2 ml de suspension
60004277;3902;100,00 mg;une gélule
60004487;35415;200 mg;un comprimé
60004505;97952;60 mg;un flacon de 1,5 mL de solution à diluer
60005856;4034;20 mg;un comprimé
60005952;12683;2CH à 30CH et 4DH à 60DH;un comprimé
60005952;12683;2CH à 30CH et 4DH à 60DH;un comprimé
60007437;19809;40 mg;un comprimé
60007960;931;0,5 g;100 ml de gel
60007960;5432;0,6 g;100 ml de gel
60008724;36065;0,5 mg;une capsule
60008845;529;15 g;100 ml de solution pour perfusion
60008845;17150;16,5 g;100 ml de solution pour perfusion
60008927;37973;1,5 mg;une gélule
60009573;2202;500 mg;un comprimé
60009573;74765;30 mg;un comprimé
60010084;42608;500 mg;un flacon
60010166;901;5,85 g;100 ml
60010885;66431;250 mg;un comprimé
60010967;19745;200 mg;une capsule
60010967;36246;175,7 mg;une capsule
60014894;258;5 mg (4 DH);un comprimé
60014894;900;5 mg (4 DH);un comprimé
60014894;1851;5 mg (6 DH);un comprimé
60014894;7987;5 mg (8 DH);un comprimé
60014894;8172;5 mg (6 DH);un comprimé
60014894;25643;5 mg (8 DH);un comprimé
60015448;5495;2CH à 30CH et 4DH à 60DH;un comprimé
60015448;5495;2CH à 30CH et 4DH à 60DH;un comprimé
60015448;5495;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé
60015448;5495;2CH à 30CH et 4DH à 60DH;un comprimé
60015448;5495;2CH à 30CH et 4DH à 60DH;un comprimé
60015448;5495;2CH à 30CH et 4DH à 60DH;un comprimé
60016308;27222;25 mg;un comprimé
60016589;8152;1000 mg;une ampoule
60018088;39422;300 mg;une gélule
60018444;76589;1 mg;un comprimé
60018896;46744;10 mg;un comprimé
60018896;52431;6,816 mg;un comprimé
60019101;473;2 g;100 ml
60019329;3225;15 mg;un comprimé
60019350;4587;7 g (Teinture mère);100 g de gel
60019813;64391;2,5 mg;une gélule
60019927;9231;100 mg;un comprimé
60021127;977;75,00 mg;un comprimé
60021216;1743;75 mg;un comprimé
60021312;614;500 microgrammes;1 g de mousse
60021771;5558;30 mg;1 ml de solution injectable
60021928;50540;8 mg;une gélule
60022275;4458;15,70 mg;un dispositif
60023270;51528;20 mg;1 mL de collyre
60023270;83176;22,26 mg;1 mL de collyre
60025054;82922;1,50 mg;un comprimé
60025314;79576;8,5 g;un sachet
60025403;2202;1000 mg;un comprimé
60026494;63947;20 mg;un comprimé
60026957;1976;5 mg;un comprimé
60027685;4000;100 mg;une gélule
60028050;16849;400 mg;une gélule
60028495;2202;500 mg;un comprimé
60028495;2278;30 mg;un comprimé
60028495;2202;500 mg;un comprimé
60028495;3225;7,5 mg;un comprimé
60028552;6492;25 mg;une ampoule
60028680;4191;3CH à 30CH et 5DH à 60DH;une ampoule
60028680;4191;3CH à 30CH et 5DH à 60DH;une ampoule
60028680;4191;3CH à 30CH et 5DH à 60DH;une ampoule
60029394;98159;10 mg;un comprrimé
60030699;376;100 000 U.I.;un flacon
60030980;213;0,72 g;un sachet-dose de 1,8 g
60031071;96835;10 mg;un comprimé
60033510;10157;125 mg;un flacon
60034085;2667;10 mg;2 ml de solution
60034644;928;2,50 mg;1 ml de suspension injectable I.M.
60034644;1836;1,00 mg;1 ml de suspension injectable I.M.
60034936;22692;120 mg;un sachet-dose 6 g
60035461;24245;20 mg;une pastille
60035714;16648;50 mg;une seringue préremplie
60035924;2543;0,033 g;100 ml de solution buvable
60037327;3437;1 000 Unités Antihéparine;1 ml de solution injectable
60037380;15734;160 mg;un comprimé
60037380;39727;5 mg;un comprimé
60038468;37011;200 mg;un comprimé
60040145;929;5,00 g;100 g de pommade
60040145;3777;1,00 g;100 g de pommade
60040469;1379;0,1 mg;un récipient unidose
60040572;51742;200 mg;1 mL de solution
60041165;6427;3CH à 30CH et 6DH à 60DH;1 mL de solution
60041165;6427;3CH à 30CH et 6DH à 60DH;1 mL de solution
60041165;6427;3CH à 30CH et 6DH à 60DH;1 mL de solution
60041560;86571;150 mg;un comprimé
60042395;4595;2CH à 30CH et 4DH à 60DH;un comprimé
60042395;4595;2CH à 30CH et 4DH à 60DH;un comprimé
60042395;4595;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé
60042395;4595;2CH à 30CH et 4DH à 60DH;un comprimé
60042395;4595;2CH à 30CH et 4DH à 60DH;un comprimé
60042395;4595;2CH à 30CH et 4DH à 60DH;un comprimé
60043038;44570;50 % mole/mole;une bouteille
60043038;75712;50 % mole/mole;une bouteille
60043077;62004;300 mg;un comprimé
60043248;85085;pas moins de 3,0 log  DICC50;une dose de 0,5 ml de vaccin reconstitué
60044161;33440;2CH à 30CH et 4DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
60044161;33440;2CH à 30CH et 4DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
60044161;33440;2CH à 30CH et 4DH à 60DH (pommade à 4 %);une dose de 0,5 ml de vaccin reconstitué
60044161;33440;2CH à 30CH et 4DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
60044161;33440;2CH à 30CH et 4DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
60044161;33440;2CH à 30CH et 4DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
60044492;33803;5 mg;un comprimé
60044784;95609;250 mg;un comprimé
60044841;981;250 mg;une gélule
60044987;91877;500 mg;un comprimé
60045217;85821;2,5 mg;1 ml de solution à diluer pour perfusion
60045288;763;6 DH 33%;1 ml de solution à diluer pour perfusion
60045288;8541;6 DH 67%;1 ml de solution à diluer pour perfusion
60046529;92419;131 mg;100 ml de sirop
60047143;731;0,015 g;un flacon
60047182;5407;54 mg;un comprimé
60047225;50681;1 800 mg;un flacon de 15 mL
60047271;33474;50 microgrammes;1 ml
60048672;1257;24 mg;un comprimé
60049895;11532;10 mg;un comprimé
60051024;1851;3CH;un comprimé
60051024;6580;3CH;un comprimé
60051024;9312;3CH;un comprimé
60051024;17778;3CH;un comprimé
60051024;21562;3CH;un comprimé
60051024;28951;4CH;un comprimé
60051024;91291;3CH;un comprimé
60051234;36065;0,5 mg;une capsule
60051316;95609;250 mg;un comprimé
60052254;3048;940 mg;1 g de granulés
60053064;4813;0,240 mg;un comprimé
60053064;51332;0,029 mg;un comprimé
60053694;52431;6,79 mg;un comprimé
60053694;69916;10 mg;un comprimé
60054312;50540;4 mg;une gélule
60054376;141;1000 mg;un flacon
60056815;769;600 mg;un comprimé
60058008;15734;160 mg;un comprimé
60058008;39727;10 mg;un comprimé
60058378;977;75 mg;un comprimé
60058517;83209;10 mg;un comprimé
60058620;35487;150 mg;un comprimé
60059081;5407;10 mg;un comprimé
60061171;2742;226 mg;une gélule
60061449;44570;q.s. (sous une pression de 10 à 12 bar, à -150 °C);une gélule
60061602;39422;200 mg;une gélule
60061709;10171;20 mg;un comprimé
60061709;73242;10 mg;un comprimé
