idGroupeGenerique;libelleGroupeGenerique
1;CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé pelliculé
1;CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé pelliculé
2;CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent
2;CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent
2;CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent
3;CIMETIDINE 400 mg - TAGAMET 400 mg, comprimé pelliculé
4;CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé pelliculé sécable
4;CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé pelliculé sécable
4;CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé pelliculé sécable
7;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé.
7;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé.
7;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé.
7;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé.
8;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé.
8;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé.
8;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé.
8;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé.
9;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent.
9;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent.
9;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent.
10;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent.
10;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent.
10;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent.
10;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent.
11;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent.
11;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent.
11;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent.
11;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent.
12;FAMOTIDINE 20 mg - PEPDINE 20 mg, comprimé pelliculé
12;FAMOTIDINE 20 mg - PEPDINE 20 mg, comprimé pelliculé
13;FAMOTIDINE 40 mg - PEPDINE 40 mg, comprimé pelliculé
13;FAMOTIDINE 40 mg - PEPDINE 40 mg, comprimé pelliculé
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante
15;SUCRALFATE 1 g - ULCAR 1 g, suspension buvable en sachet
15;SUCRALFATE 1 g - ULCAR 1 g, suspension buvable en sachet
16;SUCRALFATE 1 g - ULCAR 1 g, comprimé
16;SUCRALFATE 1 g - ULCAR 1 g, comprimé
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
