codeCIS;denomination;libelleFormePharmaceutique
61266250;A 313 200 000 UI POUR CENT, pommade;pommade
62869109;A 313 50 000 U.I., capsule molle;capsule molle
61876780;ABACAVIR ARROW 300 mg, comprimé pelliculé sécable;comprimé pelliculé sécable
62401060;ABACAVIR MYLAN 300 mg, comprimé pelliculé sécable;comprimé pelliculé sécable
63797011;ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable;comprimé pelliculé sécable
68257528;ABACAVIR/LAMIVUDINE ACCORD 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
62828870;ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
63431640;ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
65196479;ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
62170486;ABACAVIR/LAMIVUDINE MYLAN 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
67567004;ABACAVIR/LAMIVUDINE MYLAN PHARMA 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
67720261;ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
65857902;ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
62202005;ABACAVIR/LAMIVUDINE ZENTIVA 600 mg/300 mg, comprimé pelliculé;comprimé pelliculé
63152345;ABACAVIR/LAMIVUDINE/ZIDOVUDINE MYLAN 300 mg/150 mg/300 mg, comprimé pelliculé;comprimé pelliculé
66513085;ABASAGLAR 100 unités/ml, solution injectable en cartouche;solution injectable
64332894;ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli;solution injectable
65329132;ABECMA 260 - 500 x 1 000 000 cellules, dispersion pour perfusion;dispersion pour perfusion
66207341;ABELCET 5 mg/ml, suspension à diluer pour perfusion;suspension à diluer pour perfusion
60386663;ABELMOSCHUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre et pommade
60538772;ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade
65698396;ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH; comprimé et solution(s) et granules et poudre et pommade
63075735;ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade
69985792;ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade
62425595;ABIES PECTINATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes
64055988;ABILIFY 1 mg/mL, solution buvable;solution buvable
65198099;ABILIFY 10 mg, comprimé;comprimé
61815891;ABILIFY 10 mg, comprimé orodispersible;comprimé orodispersible
64224801;ABILIFY 15 mg, comprimé;comprimé
66791654;ABILIFY 15 mg, comprimé orodispersible;comprimé orodispersible
60599533;ABILIFY 5 mg, comprimé;comprimé
69641873;ABILIFY 7,5 mg/ml, solution injectable;solution injectable
68729480;ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée;poudre et  solvant pour suspension injectable à libération prolongée
66706942;ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie;poudre et  solvant pour suspension injectable à libération prolongée
60621442;ABIRATERONE ACCORD 500 mg, comprimé pelliculé;comprimé pelliculé
65412934;ABIRATERONE BIOGARAN 500 mg, comprimé pelliculé;comprimé pelliculé
61760740;ABIRATERONE EG 500 mg, comprimé pelliculé;comprimé pelliculé
66460184;ABIRATERONE EVOLUGEN 500 mg, comprimé pelliculé;comprimé pelliculé
68478448;ABIRATERONE KRKA 500 mg, comprimé pelliculé;comprimé pelliculé
62375509;ABIRATERONE MYLAN 500 mg, comprimé pelliculé;comprimé pelliculé
67365440;ABIRATERONE SANDOZ 500 mg, comprimé pelliculé;comprimé pelliculé
63001674;ABIRATERONE TEVA 500 mg, comprimé pelliculé;comprimé pelliculé
65665802;ABIRATERONE ZENTIVA 500 mg, comprimé pelliculé;comprimé pelliculé
68739019;ABRAXANE 5 mg/ml, poudre pour suspension injectable pour perfusion;poudre pour suspension injectable pour perfusion
62082709;ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade
67871676;ABROTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade
