CodeCIS	Denomination	FormePharmaceutique	VoiesAdministration
61266250	A 313 200 000 UI POUR CENT, pommade	pommade	cutanée
62869109	A 313 50 000 U.I., capsule molle	capsule molle	orale
61876780	ABACAVIR ARROW 300 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
62401060	ABACAVIR MYLAN 300 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
63797011	ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
68257528	ABACAVIR/LAMIVUDINE ACCORD 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
62828870	ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
63431640	ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
65196479	ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
62170486	ABACAVIR/LAMIVUDINE MYLAN 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
67567004	ABACAVIR/LAMIVUDINE MYLAN PHARMA 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
67720261	ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
65857902	ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
62202005	ABACAVIR/LAMIVUDINE ZENTIVA 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
63152345	ABACAVIR/LAMIVUDINE/ZIDOVUDINE MYLAN 300 mg/150 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale
66513085	ABASAGLAR 100 unités/ml, solution injectable en cartouche	solution injectable	sous-cutanée
64332894	ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli	solution injectable	sous-cutanée
65329132	ABECMA 260 - 500 x 1 000 000 cellules, dispersion pour perfusion	dispersion pour perfusion	intraveineuse
66207341	ABELCET 5 mg/ml, suspension à diluer pour perfusion	suspension à diluer pour perfusion	intraveineuse
