idGroupeGenerique;codeCIS;typeGenerique
1;65383183;0
1;67535309;1
2;65025026;0
2;68053454;1
2;64073139;1
3;69472373;0
4;60089516;0
4;60756034;1
4;62844636;2
7;65109314;0
7;66024386;0
7;64593428;1
7;65812914;1
8;61177182;0
8;63758510;0
8;69382100;1
8;66333404;1
9;64439241;0
9;62838569;0
9;69128963;1
10;61541821;0
10;63771461;0
10;62349845;1
10;64940633;1
11;66293778;0
11;69194575;0
11;62803066;1
11;65102309;1
12;67942333;0
12;60005856;1
13;68121033;0
13;67557907;1
14;64103828;0
14;63404013;0
14;62721968;1
14;61274368;1
14;60806188;1
14;61565950;1
14;67928853;1
14;69335481;1
14;67995040;1
14;61193553;1
14;63373386;1
14;66772497;1
14;62112248;1
14;69792010;1
14;65789433;1
14;61581456;1
14;63225793;1
14;64823562;1
14;62943125;1
14;68995940;1
14;66060546;1
14;61490953;1
14;65231460;1
14;67993388;1
14;65692233;1
14;69291960;1
14;69036504;1
14;63244391;1
14;62238446;1
15;64577534;0
15;68928009;1
16;68619201;0
16;69428971;1
17;62944693;0
17;66105571;1
17;62066822;1
17;61861910;1
17;67235518;1
17;60399956;1
17;63446101;1
17;63324243;1
17;68674735;1
17;64052764;1
17;65108970;1
17;65632624;1
17;68694175;1
17;67294573;1
18;69882714;0
18;63284005;1
19;61703401;0
19;61570367;1
21;60246750;0
21;63288046;1
21;66906619;1
21;65820028;1
21;68650944;1
21;60955940;1
21;62867108;1
21;64536295;1
21;60508697;1
21;63480915;1
21;65444540;1
21;69125020;1
21;64869766;1
21;64911877;1
22;62684103;0
22;63177843;1
22;63076709;1
23;63679194;0
23;61339905;0
23;63630635;1
23;68427304;1
23;67116396;1
23;63394334;1
23;60639091;1
23;66585953;1
23;66398576;1
23;68054595;1
25;62729121;0
25;62608575;1
25;66952196;1
25;69828759;1
26;60155329;0
26;61118159;1
26;67432348;1
26;64405125;1
26;66632634;1
26;60337036;1
26;61208902;1
26;65533971;1
26;63925817;1
26;65512799;1
26;64834085;1
26;67423559;1
27;61321095;0
27;61972227;1
28;61145672;0
28;68053582;0
28;60300408;1
28;65615023;1
28;67738754;1
28;62982893;1
28;62554490;1
28;67759759;1
28;60558682;1
29;61651634;0
29;61203061;0
29;61257269;1
29;61303791;1
29;69537045;1
29;61450026;1
29;63029111;1
29;61370480;1
29;68578473;1
29;69198513;1
29;65678867;1
29;63088070;1
29;69119195;1
29;63663368;1
29;62179122;1
29;64752147;1
29;66680020;1
29;63178870;1
29;68668013;1
29;65181566;1
29;62144356;1
29;63276510;1
30;60049322;0
30;64433473;1
31;68583940;0
31;63563250;1
31;69476418;1
31;69448283;1
31;69916198;1
31;61027318;1
31;61182628;1
31;61850725;1
31;65501475;1
31;64947414;1
31;67212074;1
31;62527066;1
31;61073372;1
31;67235735;1
31;62844369;1
31;68196071;1
31;69022401;1
31;69879561;1
31;63701267;1
32;67547090;0
32;63472758;1
32;62640174;1
32;64012517;1
32;65646848;1
32;60754492;1
32;66336261;1
32;69046402;1
32;61037255;1
32;62818762;1
32;64754205;1
32;68117871;1
32;65397489;1
32;64873679;1
32;63432557;1
32;66895877;1
32;67335269;1
32;68466937;1
32;68319595;1
33;61052830;0
33;68473102;1
33;69065160;1
33;69939574;1
33;63146246;1
33;69448283;2
33;66627936;1
33;67346461;1
33;67495373;1
33;63424425;1
33;68347388;1
33;69816582;1
33;69294611;1
33;64795860;1
33;66319493;1
33;61182628;2
33;65305327;1
33;63119726;1
33;60915020;1
33;64217415;1
33;66082820;1
34;69521265;0
34;65529574;0
34;67477432;1
35;66795019;0
35;60707699;1
35;69030106;1
35;63564797;1
35;63993490;1
36;62734606;0
36;67763864;1
36;66387722;1
38;61224073;0
38;60662019;1
39;60862443;0
39;61268422;1
40;69630186;0
40;67320915;1
40;69448600;1
40;69661235;1
42;61264178;0
42;69087107;1
42;61126992;1
42;63406085;1
42;64032562;1
42;64197133;1
42;64946508;1
43;64408662;0
43;69364999;1
43;60514006;1
43;61270633;1
43;67745624;1
43;65865831;1
43;64820751;1
43;62603432;1
43;60177044;1
43;60932824;1
43;60441622;1
43;62703614;1
43;69458740;1
49;68131878;0
49;60740076;1
49;62011103;1
49;62439495;1
49;67105745;1
50;67646277;0
50;63967289;1
50;65707219;1
50;61544116;1
50;64674403;1
51;68299979;0
51;62384561;1
52;60269037;0
52;61020245;1
53;67541600;0
53;64542704;1
53;68343016;1
53;67869725;1
53;60774228;1
53;62883639;1
53;62746359;1
53;62883607;1
53;63354432;1
53;67617681;1
53;64650740;1
53;69070613;1
54;69784540;0
54;67031711;1
55;69304938;0
55;68009803;1
55;63921217;1
55;69392443;1
55;69940007;1
55;61673890;1
55;62499439;1
55;63518554;1
56;65606743;0
56;60192594;1
56;61337509;1
56;63076303;1
56;66652793;1
56;67528574;1
56;61763619;1
56;69170784;1
56;69148236;1
56;66951557;1
57;67368301;0
57;61938189;1
57;62465928;1
57;65696662;1
57;64398047;1
57;61457558;1
57;63873854;1
57;68800618;1
57;64322708;1
57;69006984;1
57;64431166;1
58;68492540;0
58;66032486;1
58;64640867;1
58;64347259;1
58;62673263;1
58;62038157;1
58;60337762;1
58;60021127;1
58;60058378;1
58;65687478;1
59;69857248;0
59;68045361;1
60;69724251;0
60;69594548;1
60;66043358;1
60;67623353;1
60;67907535;1
60;65994267;1
60;62127360;1
61;63510504;0
61;66315349;1
61;68156358;1
61;66858302;1
62;61826304;0
62;65469223;1
62;66425888;1
63;66209709;0
63;66868061;1
63;61286317;1
65;62418729;0
65;61079012;1
65;69899197;1
65;64383376;1
65;69165431;1
67;66410968;0
68;67890616;0
68;60639052;1
68;67195461;1
69;66478595;0
69;60377340;1
69;65474658;1
69;63542797;1
69;66849292;1
70;67899960;0
70;63039408;1
70;68938811;1
70;69941714;1
70;69823317;1
70;64709847;1
70;66156605;1
70;60056815;1
70;68241207;1
70;68526925;1
70;66019460;1
70;62941028;1
70;62216389;1
70;60711441;1
70;63280081;1
71;60445204;0
72;62296848;0
72;65529777;0
72;64790984;1
72;64899898;1
74;61078266;0
74;65135519;1
74;63003440;1
74;67122698;1
74;66415335;1
74;67954061;1
75;62519799;0
75;67154354;1
75;68635180;1
75;61678318;1
75;60291941;1
75;68629188;1
75;66304687;1
75;63037738;1
75;69970484;1
75;62833611;1
76;64820630;0
76;62779793;1
76;68984381;1
76;65233835;1
76;61852676;1
76;62193524;1
76;63549158;1
76;65673980;1
76;68076314;1
77;67211976;0
77;68179830;0
77;68743715;1
77;69532710;1
77;62837759;1
77;64930518;2
77;66459997;1
78;65366472;0
78;61383702;1
78;64900101;1
78;64345945;1
78;65597002;1
78;64360281;1
78;65686159;1
78;64672313;1
78;62139195;1
78;63815000;1
78;67005951;1
78;67206630;1
78;60699494;1
79;66739636;0
79;67713249;1
79;66717134;1
79;65619445;1
79;65634625;1
79;67951179;1
79;69104909;1
79;62215045;1
79;69807042;1
79;69643237;1
79;69490275;1
79;62022861;1
79;64615248;1
79;61945162;1
80;66931921;0
80;63880820;1
80;66904792;1
80;63661520;1
80;65637614;1
80;64021217;1
80;69461099;1
80;64304820;1
80;64847741;1
80;67771398;1
80;69877717;1
80;60477038;1
81;64000931;0
81;62096139;1
81;68167148;1
81;60281598;1
81;67787559;1
81;63874155;1
81;67050875;1
81;62604153;1
81;62500717;1
81;65842957;1
81;63151492;1
82;60747455;0
82;64560951;0
82;67345231;1
82;68930145;1
82;65235359;1
82;60663142;1
82;63793479;1
82;67736575;1
82;64245311;1
82;61094975;1
82;66090991;2
82;60524826;1
82;62969789;2
82;66051593;1
82;67422400;1
82;61374863;1
83;68220145;0
83;60821681;1
83;65119632;1
83;67505593;1
83;66191976;1
83;69976462;1
83;67521074;1
83;63241242;1
83;67642040;1
83;61926087;1
83;60702983;1
83;60065198;1
83;62167084;1
85;65347828;0
85;62129870;1
86;66033225;0
86;61556531;0
86;62249777;1
86;67688899;1
87;62774910;0
87;62717425;0
87;68126062;1
88;66814925;0
88;68325609;1
88;62901254;1
89;63803877;0
89;69181930;1
89;61377350;1
89;69166273;1
89;68015158;1
90;63692245;0
90;64285537;1
90;60463871;1
90;68622585;1
91;68137653;0
91;67828454;1
91;60877057;1
91;63204984;1
92;65430658;0
92;65361009;1
92;64159780;1
92;63283572;1
93;62417794;0
93;68649319;1
93;68238848;1
94;60193372;0
94;68356259;0
94;61090375;1
94;64801263;1
94;61665915;1
94;68790106;1
94;68042657;1
94;69283419;1
94;66981696;1
95;64360267;0
95;61837197;0
95;68170799;1
95;67318234;1
95;68080825;1
95;68762516;1
95;61885402;1
96;64371242;0
96;68524486;1
96;65314422;1
96;62259814;1
96;60159128;1
96;64707020;1
96;62246560;1
96;67205012;1
96;63429842;1
96;60748062;1
97;68128273;0
97;69468186;1
97;63458160;1
97;62788988;1
97;64879575;1
97;64155419;1
97;62324703;1
97;66834290;1
97;65471270;1
97;65306863;1
97;60111813;1
98;68370390;0
98;67284159;0
98;62968406;1
98;68529686;1
98;61139452;1
98;60697664;1
98;61299147;1
99;68717439;0
99;66729161;0
99;68748491;1
99;60492182;1
99;62045486;1
99;65370047;1
99;61789051;1
99;64505061;1
99;69559554;1
99;62606357;1
100;62927128;0
100;60467236;0
100;61168571;1
101;62637445;0
101;68218639;0
101;60214350;1
101;62526313;1
101;64794025;1
101;68078991;1
101;63516425;1
102;67037301;0
102;60679335;0
102;63073499;1
102;62039768;1
102;65864291;1
102;63187944;1
102;69094525;1
102;66007700;1
102;64603769;1
102;68355730;1
102;66952723;1
102;68435621;1
102;63303256;1
102;67508618;1
102;68875268;2
102;61275694;1
102;63025508;1
102;61411685;1
102;67709496;2
102;63377299;1
102;65973262;2
102;65080738;1
102;60145580;1
103;64607301;0
103;65787496;0
103;60834807;1
103;60583269;1
103;68990181;1
103;65906484;1
103;67861116;1
103;62134458;1
103;66399710;1
103;61141019;1
103;61012191;1
103;65187416;1
103;67920600;1
103;67711814;1
103;69646557;1
103;60791672;1
103;69546642;1
103;66351224;1
103;65320254;1
104;63604761;0
104;67452913;1
104;62880454;1
104;60004277;1
104;67204056;1
104;62870531;1
105;69914400;0
105;69420661;1
105;63004535;1
105;64325330;1
105;62575470;1
105;66732022;1
105;67140059;1
105;67338660;1
106;62016239;0
106;60883708;1
106;64181143;1
106;67672514;1
106;68470444;1
106;64743949;1
106;67701695;1
106;64368641;1
106;69196658;1
106;62277520;1
106;65700160;1
106;68382930;1
107;65569444;0
107;61774284;1
107;67737307;1
107;62813683;1
107;60302512;1
107;69553238;1
107;60187501;1
107;65145933;1
107;66139659;1
107;69935871;1
107;63902626;1
107;62754046;1
107;62503389;1
107;69561982;1
108;66475325;0
108;62938313;1
108;66866758;1
108;61440256;1
108;62875749;1
109;61685323;0
109;66619779;1
109;62098492;1
109;69457211;1
109;66751033;1
109;69344548;1
109;64412162;1
109;61820358;1
109;65435445;1
109;61729741;1
109;66531838;1
110;65063233;0
110;64190434;1
110;66798645;1
110;66625604;1
110;64872666;1
110;65284281;1
110;61181985;1
111;66977744;0
111;64003525;1
111;68250551;1
111;64772993;1
111;69913825;1
111;66710638;1
111;66240875;1
111;60521470;1
111;69511634;1
112;62326387;0
112;66395110;1
112;62865908;1
112;66854713;1
112;68346119;1
112;69474118;1
113;65069229;0
113;68933636;0
113;62022480;1
113;67363642;1
113;68303445;1
113;67344332;1
113;62891447;1
113;68887509;1
113;60126377;1
113;64941728;1
113;66005293;1
115;61674031;0
115;66017541;1
115;62899611;1
115;64168039;1
115;69316449;1
116;68029478;0
116;63918395;1
116;62318935;1
116;62121489;1
116;65250375;1
117;62035912;0
117;64237574;1
117;69164379;1
117;60265569;1
117;67952249;1
119;64558256;0
119;62351344;1
119;69204699;1
119;65516032;1
119;66595328;1
119;64941404;1
119;66036285;1
120;69480950;0
120;67780949;1
120;61419568;1
120;68540501;1
120;68502753;1
120;68123988;1
121;69374160;0
121;68632558;1
121;62079905;1
121;63226258;1
121;60239802;1
121;67476946;1
122;61848286;0
122;66324519;1
122;63941294;1
122;61109509;1
123;61673424;0
123;64018267;1
123;63393104;1
123;62075038;1
123;66156975;1
124;63157698;0
124;61497143;1
124;68025857;1
124;66426680;1
125;63408595;0
125;62673690;1
125;62770926;1
125;60661312;1
125;61087799;1
125;64671670;1
127;65701038;0
127;68765170;1
127;67684580;1
127;65904501;1
128;68054823;0
128;69765390;1
128;64053460;1
128;64783616;1
129;61255738;0
129;67552319;1
129;67588728;1
129;60406938;1
129;62028953;1
129;62450997;1
129;63306786;1
130;64066269;0
130;62753154;1
130;62003590;1
131;69224470;0
131;67037066;1
131;61198689;1
131;63309558;1
131;67961807;1
131;60620486;1
131;61716904;1
131;64280159;1
133;66227027;0
133;66297890;0
133;62866910;1
133;65566430;1
133;64171583;1
134;62622863;0
134;69200035;1
135;66871876;0
135;61335351;1
135;62597050;1
135;69666976;1
135;61539350;1
135;69864424;1
135;64949002;1
135;67537107;1
135;62743861;1
136;60492702;0
136;66640556;1
136;66297189;1
136;65373285;1
136;65163486;1
136;67187799;1
136;62440298;1
136;68830198;1
137;62390849;0
137;64233693;1
137;64793934;1
137;61093421;1
137;60779182;1
