codeCIS;codeCIP7
60002283;4949729
60002283;4949770
60002504;3320863
60003620;3696350
60004277;3614582
60004487;3972519
60004505;5507419
60005856;3551025
60007437;4944413
60007437;4944494
60007960;3637755
60008724;3016859
60008845;3236370
60008845;3236387
60008927;3978723
60009573;3016729
60009573;3016730
60010084;5506059
60010166;3669465
60010885;3809334
60010967;3378331
60014894;2661711
60016308;3740594
60016589;3657120
60018088;3651330
60018088;5658201
60018444;3010099
60018444;3010100
60018896;2794381
60018896;2794412
60019101;3202980
60019329;3007651
60019350;3002077
60019350;3014251
60019350;3019984
60019350;3019985
60019350;3565027
60019813;3023853
60019927;3487474
60019927;5613121
60021127;3496817
60021127;3738338
60021216;3082033
60021312;2165828
60021771;2688360
60021928;3017344
60022275;3589884
60023270;3016779
60025054;2784968
60025054;2784980
60025314;3009265
60025403;3648546
60026494;3000753
60026957;3682098
60026957;3701625
60026957;3875331
60027685;3009863
60028050;3826491
60028495;3698604
60028552;5651179
60029394;3008127
60030699;5506753
60030980;3399333
60031071;3004343
60033510;5625845
60034085;2210871
60034644;3102586
60034936;3841579
60035461;2228635
60035714;3973097
60035924;4921553
60037327;3101173
60037380;3016677
60037380;3016678
60038468;2196792
60040145;3095797
60040145;5532687
60040469;3412826
60040469;3636684
60040572;5645084
60041560;4936394
60043038;3008900
60043038;5503141
60043077;3798286
60043248;3092675
60044492;2660634
60044784;4162610
60044841;3018096
60044987;2744986
60045217;3002104
60045288;3020999
60046529;3020391
60047143;3214279
60047182;3615564
60047225;3021220
60047271;3438406
60047271;3438412
60048672;3833829
60049895;3733565
60049895;3925833
60051024;3021065
60051234;3618255
60051316;2669291
60052254;5628329
60053064;3341859
60053694;4900456
60053694;4900746
60054312;3018146
60054376;3011821
60056815;3563778
60058008;3781819
60058008;3781831
60058008;3820442
60058378;3673828
60058378;3787503
60058517;3412625
60058620;3014421
60059081;3392940
60061171;4158809
60061449;5700647
60061602;3002284
60061709;4900316
60061709;4900317
60064527;4900055
60064872;2201286
60065198;3897255
60065198;3908266
60065294;2676500
60065294;2676517
60067562;3244895
60068002;3007484
60068002;3010512
60068034;3015704
60068251;4900194
60068333;4900173
60069307;3020634
60069307;3022727
60069339;2186109
60070359;3014833
60070665;3815205
60071190;3788431
60071233;3015756
60071379;3424367
60071952;3797499
60071952;5590348
60072506;5615657
60073451;3420174
60073608;2217933
60073608;2217962
60073907;4935012
60073914;3835892
60073960;3015759
60074432;4900057
60074432;4900058
60074795;5500309
60074795;5500310
60074795;5500311
60074795;5500312
60074795;5507196
60074795;5507197
60074795;5507199
60074795;5507200
60074934;5585577
60075064;3012185
60075192;3882348
60075192;3882354
60075370;3018907
60075452;3003295
60076860;3020497
60077574;3529706
60077574;3529712
60078078;2781059
60078765;3006450
60078765;3006452
60079721;4900087
60079721;4900088
60080218;3588117
60080232;5712834
60082023;3014303
60082062;3638401
60082450;3024393
60083132;3952830
60083132;3952876
60084049;3359055
60085553;3020139
60088834;3019147
60088834;3019148
60089217;5841856
60089217;5841879
60091086;2194178
60092590;3172463
60092811;4900384
60093639;2745968
60094125;3847197
60095056;3392615
60095095;2180101
60095526;3867403
60095526;3867432
60095729;3477889
60095729;3993384
60097203;2665643
60097833;3261304
60099738;3606163
60099738;3606186
60100877;3290458
60101406;3023425
60101406;3023426
60105162;3779248
60105568;5506197
60106606;5838363
60106848;2190341
60106862;3020769
60106862;3020770
60107747;3392762
60107932;3350249
60107932;3350255
60108518;3006896
60108678;3749891
60108870;3514923
60109100;4900278
60109303;3007616
60110031;3695994
60110031;3696019
60110031;3831575
60110031;3831606
60110896;3011875
60111101;3867484
60111197;3593124
60111471;3017384
60111471;3017385
60111813;3674532
60113814;3014723
60113814;3014725
60116447;3747165
60116447;3747194
60116810;2680890
60116810;2680915
60118715;3025897
60118971;3387666
60120709;3790959
60120812;5726902
60120812;5726919
60120812;5726925
60122628;2231399
60122628;2231459
60122699;3020857
60122717;3008552
60123363;3920103
60123979;3661860
60123979;3676413
60124020;5621787
60124472;3021840
60124472;3021841
60124999;2245711
60125777;3016419
60125777;3018782
60126377;3612353
60126594;2760382
60126612;3008409
60126982;3011083
60127671;3003118
60128339;3016539
60129665;3659573
60129957;3002036
60130062;3812112
60130354;3778272
60130354;3778289
60130386;3053155
60130742;3647765
60130742;3647788
60130906;3964508
60130906;3964566
60131132;2788759
60131132;3793283
60131805;5773899
60131805;5773965
60132330;3702381
60132330;3982759
60132330;3982765
60132572;3319624
60132743;5580114
60133432;4155805
60133973;3718620
60135981;3592202
60135981;4950008
60136439;3002365
60137021;3024526
60139257;3001652
60139563;2785117
60139563;2785146
60140010;3008442
60140882;3002699
60141614;3017088
60142043;3863380
60142043;3863411
60143654;3011153
60144464;2802011
60145580;3941683
60145580;3946829
60145801;3907232
60145801;3907255
60148167;3971537
60148893;3022131
60149276;5758434
60150015;3009566
60150015;3009567
60150015;3009568
60150015;3009569
60150232;2179121
60150467;2667441
60150638;3021987
60150830;4900024
60150830;4902001
60151124;2764902
60151544;3008215
60151544;3008218
60151697;3617988
60151843;5504887
60152411;2672146
60152436;3476045
60152607;3010967
60153239;5661189
60153239;5793761
60154017;4927840
60154017;4927917
60154024;3799707
60154309;3061700
60154743;3011733
60155329;2769319
60155329;5556682
60155667;5596635
60155788;3556206
60155788;5631188
60156089;3858829
60156413;3014762
60156413;3014763
60158147;3833746
60159128;3739332
60159128;3879004
60160479;3007888
60160707;3352538
60160835;3012152
60161143;3615386
60161143;3690867
60162494;3004855
60165234;3020653
60165394;3002735
60165394;3002736
60165857;4181613
60165857;4181636
60166980;2739235
60168465;2740505
60168465;2740534
60168515;3634656
60168515;3634662
60170046;3613335
60170224;3966890
60172339;3291274
60173964;3359492
60175591;3021214
60175716;3658177
60175972;3241968
60177044;3794383
60177628;3018026
60177628;3060310
60177724;5789038
60178609;3010521
60178712;3086350
60179839;3022014
60179839;3022015
60180720;3683465
60180720;3731098
60181231;5857656
60181402;5845937
60181733;3422397
60182237;3003700
60182486;3521343
60182486;3562922
60182657;3473288
60182657;3473302
60183061;5668961
60184188;3192276
60184590;3003989
60185201;3700809
60185201;3700844
60185201;3730064
60186043;3659403
60186552;5630912
60186584;2756713
60187348;4900006
60187348;4900007
60187501;3907338
60187501;3907344
60192594;3647676
60192594;3739438
60195010;3016721
60195010;3365239
60195156;3000284
60195398;3487273
60196176;3594862
60196945;4151500
60196977;5724205
60196977;5724257
60196977;5724317
60197011;2784750
60199966;5504152
60200500;3772134
60200678;4900089
60200678;4900090
60200938;3001212
60200938;3862877
60202031;3012407
60202031;3060333
60202750;3022853
60203418;3012507
60203546;3001814
60203795;2784997
60203795;2785011
60204573;3819781
60205159;3012689
60205159;3012690
60205458;3618864
60206154;3288993
60206332;3575327
60207459;4919013
60208251;3537864
60208447;5704303
60209531;4995698
60209645;3669146
60209645;3669152
60209645;3923171
60209937;3294798
60210697;3564602
60210811;3013743
60211183;3792007
60212424;3394117
60213914;5504953
60214350;3631899
60215018;3014521
60216127;5502281
60216725;4902165
60217108;2207900
60217542;3022629
60219803;3795394
60221042;3981352
60222137;3312734
60223278;5592459
60223417;2194764
60224316;3723242
60224437;3986757
60224800;5595392
60225681;3918589
60226897;3359500
60226915;3771198
60226979;2682713
60227166;3023242
60230550;3463947
60231339;4900050
60232074;3139193
60232334;4991223
60232359;2244870
60232359;2244887
60233913;3552898
60234100;3595583
60234100;5636955
60234214;3882704
60234221;3287479
60234221;3715231
60235330;3556755
60235768;3931383
60236546;4900405
60236546;4900406
60237790;3907025
60237858;5710137
60238376;3337154
60238853;3907999
60238853;3908013
60238853;3908059
60238853;3908071
60239706;3296900
60239802;3000542
60240181;3289679
60241034;3006079
60241874;3004003
