codeCIP7;libelle;prix;stockLogique;stockPhysique
4949729;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);1,02;520;520
4949770;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);1,02;;
3320863;tube(s) polypropylène de 30 comprimé(s);1,02;;
3696350;20 récipient(s) unidose(s) polyéthylène de 2 ml suremballée(s)/surpochée(s) par plaquette de 5 récipients unidoses;1,02;;
3614582;plaquette(s) thermoformée(s) PVC aluminium de 30  gélule(s);1,02;;
3972519;plaquette(s) opaque(s) PVC-Aluminium de 30 comprimé(s);1,02;;
5507419;1 flacon(s) en verre de 1,5 ml - 1 flacon(s) en verre de 4,5 ml;1,02;520;520
3551025;plaquette(s) PVC-Aluminium PVDC de 30 comprimé(s);1,02;;
4944413;plaquette(s) aluminium de 28 comprimé(s);1,02;;
4944494;plaquette(s) aluminium de 90 comprimé(s);2,76;;
3637755;1 tube(s) polyéthylène basse densité (PEBD) de 15 ml;1,02;520;520
3016859;plaquette(s) PVC PVDC aluminium de 30 capsule(s);1,02;;
3236370;1 flacon(s) en verre de 500 ml;1,02;;
3236387;1 flacon(s) en verre de 1000 ml;1,02;;
3978723;plaquette(s) PVC PVDC aluminium de 56 gélule(s);1,02;520;520
3016729;plaquettes PVC-Aluminium de 16 comprimés;1,02;;
3016730;plaquette(s) PVC-Aluminium polytéréphtalate (PET) papier avec fermeture de sécurité enfant de 16 comprimé(s);1,02;;
5506059;1 flacon en verre de 20 mL;1,02;520;520
3669465;20 ampoule(s) polypropylène de 20 ml;1,02;520;520
3809334;plaquette(s) PVC PVDC aluminium de 12 comprimé(s);1,02;;
3378331;plaquette(s) thermoformée(s) PVC PVDC aluminium de 3 capsule(s);1,02;;
2661711;2 plaquette(s) thermoformée(s) PVC PVDC aluminium de 20 comprimé(s);1,02;520;520
3740594;plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s);1,02;;
3657120;5 ampoule(s) en verre de 5 ml;1,02;;
3651330;plaquette(s) PVC-Aluminium de 56 gélule(s);1,02;;
