codeSubstance;denominationSubstance;natureComposant;;;
42215;ANASTROZOLE;SA;;;
25783;RANITIDINE (CHLORHYDRATE DE);SA;;;
49632;RANITIDINE BASE;ST;;;
5319;ACTAEA RACEMOSA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
53034;CURCUMA XANTHORRHIZA, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4179;DIPROPIONATE DE BÉCLOMÉTASONE;SA;;;
3902;FÉNOFIBRATE;SA;;;
35415;TRAMADOL;ST;;;
86571;CHLORHYDRATE DE TRAMADOL;SA;;;
97952;CABAZITAXEL;SA;;;
4034;FAMOTIDINE;SA;;;
12683;RHODODENDRON FERRUGINEUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
19809;ATORVASTATINE;ST;;;
50091;ATORVASTATINE CALCIQUE;SA;;;
931;SULFATE DE ZINC;SA;;;
5432;CHLORHYDRATE DE LIDOCAÏNE;SA;;;
36065;DUTASTÉRIDE;SA;;;
529;GLUCOSE ANHYDRE;ST;;;
17150;GLUCOSE MONOHYDRATÉ;SA;;;
37973;RIVASTIGMINE;ST;;;
55512;HYDROGÉNOTARTRATE DE RIVASTIGMINE;SA;;;
2202;PARACÉTAMOL;SA;;;
74765;PHOSPHATE DE CODÉINE HÉMIHYDRATÉ;SA;;;
3599;THIOPENTAL ET CARBONATE SODIQUES;SA;;;
42608;THIOPENTAL SODIQUE;ST;;;
901;CHLORURE DE SODIUM;SA;;;
66431;CIPROFLOXACINE;ST;;;
79482;CHLORHYDRATE DE CIPROFLOXACINE;SA;;;
19745;NITRATE DE FENTICONAZOLE;SA;;;
36246;FENTICONAZOLE BASE;ST;;;
258;NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
900;BORAX;SA;;;
1851;ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
7987;TABACUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
8172;SEPIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
25643;COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5495;GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
27222;CARVÉDILOL;SA;;;
8152;LÉVOCARNITINE;SA;;;
39422;PRÉGABALINE;SA;;;
68776;ENTÉCAVIR MONOHYDRATÉ;SA;;;
76589;ENTÉCAVIR;ST;;;
46744;TOSILATE DE PÉRINDOPRIL;SA;;;
52431;PÉRINDOPRIL;ST;;;
473;CROMOGLICATE DE SODIUM;SA;;;
3225;HYDROGÉNOSUCCINATE DE DOXYLAMINE;SA;;;
4587;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
64391;LÉNALIDOMIDE;SA;;;
9231;AMISULPRIDE;SA;;;
977;SPIRONOLACTONE;SA;;;
1743;DIPYRIDAMOLE;SA;;;
614;PROPIONATE DE CLOBÉTASOL;SA;;;
5558;TÉTRADÉCYL SULFATE DE SODIUM;SA;;;
50540;SILODOSINE;SA;;;
4458;TRINITRINE;SA;;;
51528;DORZOLAMIDE;ST;;;
83176;CHLORHYDRATE DE DORZOLAMIDE;SA;;;
82922;RIOCIGUAT;SA;;;
79576;MACROGOL 3350;SA;;;
63947;PÉLARGONIUM (EXTRAIT FLUIDE DE RACINE DE);SA;;;
1976;GLIBENCLAMIDE;SA;;;
4000;PENTOSANE POLYSULFATE SODIQUE;SA;;;
16849;GABAPENTINE;SA;;;
2278;CHLORHYDRATE DE PSEUDOÉPHÉDRINE;SA;;;
6492;BÉSILATE D'ATRACURIUM;SA;;;
4191;CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
98159;TADALAFIL;SA;;;
376;UROKINASE (MAMMIFERE/HUMAIN/URINE);SA;;;
213;SÉNÉ (FEUILLE DE);SA;;;
96835;ARIPIPRAZOLE;SA;;;
10157;CHLORHYDRATE DE VANCOMYCINE;SA;;;
2667;MIDAZOLAM;ST;;;
51868;CHLORHYDRATE DE MIDAZOLAM;SA;;;
928;CHLORURE DE ZINC;SA;;;
1836;TÉTRACOSACTIDE;SA;;;
22692;KÉTOCONAZOLE;SA;;;
24245;CHLORHYDRATE D'AMBROXOL;SA;;;
16648;GOLIMUMAB ;SA;;;
2543;OXOMÉMAZINE;SA;;;
3437;SULFATE DE PROTAMINE;SA;;;
15734;VALSARTAN;SA;;;
39727;AMLODIPINE;ST;;;
93748;BÉSILATE D'AMLODIPINE;SA;;;
37011;LAMOTRIGINE;SA;;;
929;OXYDE DE ZINC;SA;;;
3777;BENZOATE DE CHOLÉSTÉROL;SA;;;
1379;CÉTHEXONIUM (BROMURE DE);SA;;;
51742;ALBUMINE HUMAINE ;SA;;;
6427;GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4595;CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
44570;OXYGÈNE;SA;;;
75712;PROTOXYDE D'AZOTE;SA;;;
62004;OXCARBAZÉPINE;SA;;;
85085;VIRUS DE LA ROUGEOLE, SOUCHE SCHWARTZ, VIVANT, ATTÉNUÉ ;SA;;;
33440;OCIMUM BASILICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
