CodeCIS;VoiesAdministration
61266250;cutanée
62869109;orale
61876780;orale
62401060;orale
63797011;orale
68257528;orale
62828870;orale
63431640;orale
65196479;orale
62170486;orale
67567004;orale
67720261;orale
65857902;orale
62202005;orale
63152345;orale
66513085;sous-cutanée
64332894;sous-cutanée
65329132;intraveineuse
66207341;intraveineuse
60386663;cutanée
60538772;cutanée
65698396;cutanée
63075735;cutanée
69985792;cutanée
62425595;orale
64055988;orale
65198099;orale
61815891;orale
64224801;orale
66791654;orale
60599533;orale
69641873;intramusculaire
68729480;intramusculaire
66706942;intramusculaire
60621442;orale
65412934;orale
61760740;orale
66460184;orale
68478448;orale
62375509;orale
67365440;orale
63001674;orale
65665802;orale
68739019;intraveineuse
62082709;cutanée
67871676;cutanée
62024766;cutanée
64457435;cutanée
60612094;cutanée
68336954;sublinguale
67144513;sublinguale
61464150;sublinguale
60282999;sublinguale
63451714;sublinguale
61578296;sublinguale
64728712;orale
62963238;cutanée
69724187;orale
60929194;orale
68371745;orale
63958735;orale
64127672;orale
69116854;orale
65803331;orale
61937888;orale
60946941;orale
60989978;orale
67093136;orale
69771614;orale
67901945;orale
64493666;orale
67813445;sublinguale
61823354;intraveineuse
68056062;intraveineuse
60812344;intraveineuse
63909873;intraveineuse
67627711;hémodialyse
61278936;hémodialyse
69430342;hémodialyse
63880820;orale
66904792;orale
62096139;orale
63661520;orale
68167148;orale
65637614;orale
60281598;orale
64021217;orale
67787559;orale
69461099;orale
63874155;orale
65521830;orale
67470053;orale
62101141;orale
64304820;orale
67050875;orale
64847741;orale
62604153;orale
67771398;orale
62500717;orale
69877717;orale
65842957;orale
60477038;orale
63151492;orale
68600724;orale
64130871;orale
61003712;orale
64937530;orale
63092688;orale
67238724;cutanée
65900339;orale
67552319;orale
60899178;orale
67588728;orale
65230796;orale
60406938;orale
67443608;orale
63455260;orale
69243168;intraveineuse
69773711;cutanée
68976484;cutanée
66767379;cutanée
69148542;orale
69205527;orale
66398010;orale
62784356;orale
68043798;orale
69896678;orale
67494823;orale
67657188;orale
63976701;orale
65483582;orale
62887979;orale
65897327;orale
61920248;orale
65372144;orale
68401067;ophtalmique
61683272;orale
62022480;cutanée
68888917;orale
67363642;cutanée
60111197;orale
64858307;cutanée
63299690;orale
62485208;orale
68303445;cutanée
62970791;orale
68102563;cutanée
69175190;orale
67344332;cutanée
62945806;orale
61938584;cutanée
60418673;orale
62891447;cutanée
64776881;orale
61754342;intraveineuse
69116587;intraveineuse
64264557;orale
64743867;cutanée
62566877;orale
68887509;cutanée
60799637;cutanée
68560639;orale
60311803;cutanée
66086740;orale
68474955;cutanée
67720806;orale
69258501;intraveineuse
60126377;cutanée
60890745;intraveineuse
67260521;orale
69540696;cutanée
64855318;orale
64941728;cutanée
60964409;orale
69180611;orale
66005293;cutanée
68881730;orale
66929906;orale
69784280;orale
61838744;orale
68157307;orale
60365142;orale
63281774;orale
67464926;orale
68229767;orale
65701390;orale
63174719;orale
65533900;orale
67656556;orale
68659822;orale
63525488;orale
64272874;orale
63001941;orale
65035846;orale
69242155;orale
60934017;orale
66407096;orale
62300481;orale
62999597;orale
63278319;orale
64079238;orale
66407826;orale
68265101;orale
60648756;orale
65079554;orale
65383557;orale
60796566;orale
63469032;orale
63501366;orale
67320915;orale
68502917;orale
69448600;orale
69661235;orale
68762562;cutanée
67676765;cutanée
64944927;cutanée
64108825;cutanée
66343989;cutanée
63861752;cutanée
65427676;intraveineuse
64913426;intraveineuse
61884211;orale
67587398;orale
62714607;orale
63520847;intraveineuse
64314490;intraveineuse
64564711;intraveineuse
60151843;intraveineuse
68806603;orale
69307489;orale
60970141;orale
61225182;orale
60886120;orale
66438622;orale
62508863;orale
62994066;orale
69846255;orale
67519707;intraveineuse
66175242;intraveineuse
64410713;intraveineuse
69561021;intraveineuse
68737947;intraveineuse
60463323;intraveineuse
66902987;intraveineuse
68011537;intraveineuse
68480627;intraveineuse
64044205;intraveineuse
67182791;intraveineuse
65063322;intraveineuse
65148121;intraveineuse
64908596;orale
69636666;sublinguale
68527678;orale
67306342;intraveineuse
60991573;intraveineuse
67159166;sous-cutanée
61736892;cutanée
64692465;cutanée
69203615;cutanée
66506742;cutanée
69152302;inhalée
61104024;intramusculaire
65090198;cutanée
62179617;orale
60002746;orale
69255099;cutanée
68185160;cutanée
69330705;orale
62448875;orale
65464525;sublinguale
69488452;orale
61774341;orale
63146424;orale
60206332;orale
69928332;orale
67177673;voie extracorporelle autre
63617876;intraveineuse
62187806;voie buccale autre
66645425;voie buccale autre
64226300;voie buccale autre
67100036;voie buccale autre
61576943;voie buccale autre
64417355;voie buccale autre
62469549;orale
63454500;orale
64288864;orale
60765898;orale
63594630;orale
69235748;orale
64373026;orale
62820286;orale
60328261;orale
62417470;orale
66047164;nasale
67928230;nasale
62210849;orale
68933636;cutanée
64955489;orale
69716824;orale
64392560;orale
60399454;orale
60262879;orale
60727189;orale
64144419;orale
65740030;orale
66477041;orale
67332173;orale
64566299;orale
68951171;intra-artérielle
67448313;intra-artérielle
62809126;intraveineuse
61995884;intraveineuse
62040674;orale
60043038;inhalée
68337593;orale
62927128;orale
62206135;orale
63866361;ophtalmique
62580656;intramusculaire
62004984;intraveineuse
62287112;orale
65347828;orale
67680190;orale
60861252;orale
65099368;cutanée
67245747;cutanée
62886560;cutanée
69422057;orale
69982928;orale
67276995;orale
64892010;inhalée
68438457;intraveineuse
63206355;orale
64832942;orale
66086562;orale
60025054;orale
60203795;orale
61875550;orale
61855583;intraveineuse
62967603;intraveineuse
68352264;intraveineuse
63052537;intraveineuse
64493890;orale
61871331;orale
60928936;orale
66265330;orale
63359632;cutanée
60351662;cutanée
67443501;orale
67180032;voie buccale autre
68955248;orale
68176916;orale
66927104;orale
61964294;orale
62024136;endotrachéobronchique
69150358;endotrachéobronchique
61912155;endotrachéobronchique
61072758;intramusculaire
69325747;intraveineuse
69556177;intraveineuse
69553494;intraveineuse
66305127;cutanée
66800110;cutanée
65884582;intraveineuse
65771499;intraveineuse
69035345;intraveineuse
65488729;intraveineuse
64367525;intraveineuse
64661854;intraveineuse
66269026;orale
63725282;orale
63230395;orale
62444268;sous-cutanée
67822622;cutanée
63931834;orale
64297436;orale
61604257;orale
61727612;orale
66954464;intraveineuse
64445956;intraveineuse
68255655;intraveineuse
68294455;intraveineuse
69558317;intraveineuse
67778827;intraveineuse
68634000;orale
63646874;orale
67848097;orale
61959735;orale
62217014;cutanée
68033779;orale
63040606;orale
69955824;cutanée
61902232;orale
61598943;intraveineuse
69643760;orale
61833327;orale
63498500;inhalée
61054685;sublinguale
61276928;orale
63869208;cutanée
69543062;cutanée
62620175;cutanée
64122248;cutanée
69213673;cutanée
60955709;cutanée
68930647;cutanée
66067715;cutanée
61282849;cutanée
67316525;intraveineuse
64700855;intraveineuse
68821893;intraveineuse
64920036;intraveineuse
68080800;intraveineuse
64201368;orale
62142469;orale
69867865;orale
60833559;ophtalmique
61906519;intraveineuse
60944716;intraveineuse
64477690;intraveineuse
66216027;intraveineuse
61411315;intraveineuse
64280351;intraveineuse
67710662;intraveineuse
60007960;voie buccale autre
67717450;cutanée
62313404;cutanée
66347585;orale
68786104;cutanée
65062366;cutanée
67197786;orale
69061404;cutanée
66768488;orale
60386574;cutanée
68820332;cutanée
68760180;orale
64798333;orale
66452892;orale
69718024;orale
65359652;orale
62525777;orale
60486279;orale
68775684;cutanée
61825622;cutanée
66766366;intraveineuse
65024764;intraveineuse
62336157;cutanée
60456535;orale
61793701;cutanée
63537775;cutanée
63401330;sous-cutanée
64453981;sous-cutanée
66086181;inhalée
68696906;sous-cutanée
66782153;orale
63631908;cutanée
67693946;orale
64367347;orale
60568235;nasale
66967127;intraveineuse
67960160;intraveineuse
69227858;intraveineuse
63124513;intraveineuse
69347505;intraveineuse
62691806;orale
61787068;cutanée
